year,month,revenue,rain_days,temp_mean_c
2023,1,400232.87,13,5.356428571428571
2023,2,829931.19,6,4.542857142857143
2023,3,986136.79,22,7.871428571428571
2023,4,912165.99,12,8.782142857142857
2023,5,1400413.87,8,13.891428571428571
2023,6,1399177.27,3,20.889285714285712
2023,7,1172234.52,26,18.365714285714283
2023,8,90064.61,7,17.45
2023,9,1254333.21,9,18.560714285714287
2023,10,1923355.3900000001,22,13.108571428571429
2023,11,1186092.75,14,6.057142857142857
2023,12,1285537.47,19,7.185714285714285
2024,1,521826.75,12,3.8028571428571425
2024,2,900567.48,21,8.053571428571429
2024,3,1157294.16,14,8.964285714285714
2024,4,1421012.69,25,11.288571428571428
2024,5,1230703.63,19,15.517857142857142
2024,6,1053132.96,11,16.114285714285714
2024,7,1689580.79,13,18.196428571428573
2024,8,434074.68000000005,11,20.052380952380954
2024,9,1113395.98,17,14.831428571428571
2024,10,591833.86,12,12.428571428571429
2024,11,1101852.8199999998,9,6.664285714285715
2024,12,870206.2000000001,15,5.0600000000000005
2025,1,819073.09,11,2.617857142857143
2025,2,996768.36,7,4.039285714285715
2025,3,1110935.2,1,8.197142857142858
2025,4,1145242.59,10,12.492857142857142
2025,5,920223.52,6,14.782142857142857
2025,6,890193.16,15,20.065714285714286
2025,7,849112.85,11,19.504761904761907
2025,8,640766.36,4,18.43809523809524
2025,9,1714578.18,12,15.059999999999999
2025,10,1061717.18,11,11.985714285714286
2025,11,1455951.02,11,7.617857142857143
2025,12,1152758.41,8,5.234285714285714
2026,1,878391.2,7,3.0821428571428573
2026,2,1226144.52,14,6.517857142857142
2026,3,2408481.77,12,8.454285714285714
2026,4,1224949.43,5,11.939285714285715
2026,5,982586.0,13,15.025
