week_start,revenue,invoice_lines,active_days,rain_mm,precip_mm,rain_days,heavy_rain_days,frost_days,cold_days,temp_mean_c,wind_max_kmh,month,year
2023-01-02,118.16,3,1,3.5,3.5,1,0,0,0,9.925,25.9,1,2023
2023-01-09,95218.54,31,6,55.6,55.6,7,3,0,0,7.814285714285715,37.5,1,2023
2023-01-16,57042.25,35,5,9.2,23.8,1,1,6,7,0.8142857142857142,25.3,1,2023
2023-01-23,70531.73,23,5,1.1,1.4,0,0,5,7,1.5714285714285714,21.6,1,2023
2023-01-30,177322.19,43,5,7.2,7.2,4,0,0,1,6.6571428571428575,34.2,1,2023
2023-02-06,226440.76,42,5,0.2,0.2,0,0,5,5,2.914285714285714,19.3,2,2023
2023-02-13,324919.58999999997,89,5,6.1,6.1,3,0,1,0,7.6000000000000005,33.0,2,2023
2023-02-20,88208.85,32,4,11.299999999999999,11.299999999999999,3,1,1,3,5.328571428571428,28.2,2,2023
2023-02-27,190361.99,48,4,1.0,1.0,0,0,5,7,2.3285714285714287,21.0,2,2023
2023-03-06,308404.23,62,5,39.1,48.9,5,3,3,5,3.914285714285714,34.9,3,2023
2023-03-13,140702.75,32,4,13.5,14.3,5,0,0,1,9.485714285714286,38.3,3,2023
2023-03-20,268780.56,53,5,34.0,34.0,6,3,0,0,9.828571428571427,40.2,3,2023
2023-03-27,268249.25,52,5,33.8,33.9,6,2,1,2,8.257142857142856,30.8,3,2023
2023-04-03,229483.12,51,5,7.800000000000001,7.800000000000001,2,1,2,3,6.585714285714286,20.0,4,2023
2023-04-10,174665.79,49,4,20.1,20.1,3,1,0,0,9.242857142857144,31.7,4,2023
2023-04-17,424978.95,97,5,15.7,16.0,4,1,0,0,10.228571428571428,29.1,4,2023
2023-04-24,83038.12999999999,56,4,27.7,27.7,3,2,1,0,9.071428571428571,29.2,4,2023
2023-05-01,350011.37,35,4,25.2,25.2,3,2,0,0,12.885714285714286,17.9,5,2023
2023-05-08,263650.73,40,5,39.1,39.1,4,3,0,0,14.357142857142858,19.1,5,2023
2023-05-15,319012.02,29,3,2.1,2.1,1,0,0,0,12.714285714285714,22.5,5,2023
2023-05-22,270143.19,38,5,1.3,1.3,0,0,0,0,14.028571428571428,20.7,5,2023
2023-05-29,197596.56,56,4,0.0,0.0,0,0,0,0,15.471428571428572,19.2,5,2023
2023-06-05,533400.59,97,5,0.1,0.1,0,0,0,0,20.814285714285713,19.5,6,2023
2023-06-12,284141.58,74,5,0.8,0.8,0,0,0,0,22.12857142857143,18.3,6,2023
2023-06-19,346129.47,34,5,45.2,45.2,2,2,0,0,21.728571428571428,25.2,6,2023
2023-06-26,235505.63,41,5,4.1,4.1,1,0,0,0,18.885714285714283,26.5,6,2023
2023-07-03,331098.92,36,5,12.2,12.2,3,0,0,0,19.785714285714285,38.9,7,2023
2023-07-10,203769.85,71,5,10.700000000000001,10.700000000000001,5,0,0,0,20.542857142857144,31.4,7,2023
2023-07-17,204494.31,37,5,10.7,10.7,5,0,0,0,17.642857142857142,31.8,7,2023
2023-07-24,432808.3,122,5,57.8,57.8,6,4,0,0,17.45714285714286,28.0,7,2023
2023-07-31,63.14000000000003,13,1,54.3,54.3,7,5,0,0,16.4,35.0,7,2023
2023-08-21,43590.0,3,1,16.3,16.3,4,2,0,0,19.0,23.7,8,2023
2023-08-28,46474.61,46,5,15.000000000000002,15.000000000000002,3,1,0,0,15.9,21.4,8,2023
2023-09-04,131062.04000000001,19,4,0.0,0.0,0,0,0,0,21.985714285714288,14.4,9,2023
2023-09-11,288444.1,47,5,19.1,19.1,4,2,0,0,18.957142857142856,17.6,9,2023
2023-09-18,434004.97,39,5,20.0,20.0,4,2,0,0,16.47142857142857,33.4,9,2023
2023-09-25,400822.1,78,5,3.9,3.9,1,0,0,0,16.82857142857143,25.5,9,2023
2023-10-02,478927.77999999997,39,5,6.7,6.7,1,1,0,0,16.285714285714285,25.5,10,2023
2023-10-09,443219.83,52,5,27.0,27.0,4,3,0,0,15.557142857142859,32.4,10,2023
2023-10-16,275618.75,69,5,30.7,30.7,4,2,0,0,11.799999999999999,29.9,10,2023
2023-10-23,330543.15,62,5,47.1,47.1,6,4,0,0,11.1,31.0,10,2023
2023-10-30,395045.88,87,5,29.2,29.2,7,3,0,0,10.799999999999999,45.9,10,2023
2023-11-06,48574.770000000004,51,5,15.2,15.2,3,1,0,0,8.328571428571427,31.4,11,2023
2023-11-13,479885.11,98,5,47.800000000000004,47.800000000000004,5,3,0,0,8.914285714285715,31.5,11,2023
2023-11-20,422384.26,70,5,10.299999999999999,10.6,4,0,1,3,6.3999999999999995,26.9,11,2023
2023-11-27,235248.61,69,5,23.3,28.700000000000003,2,1,6,7,0.5857142857142857,26.2,11,2023
2023-12-04,304679.35,89,5,21.5,21.6,5,1,1,4,4.742857142857143,35.4,12,2023
2023-12-11,489843.1,92,4,9.9,9.9,3,1,0,0,7.1,32.4,12,2023
2023-12-18,434782.81,73,6,41.3,41.3,6,4,0,1,7.685714285714285,37.3,12,2023
2023-12-25,56232.21,42,4,27.3,27.3,5,2,0,0,9.214285714285714,32.4,12,2023
2024-01-01,4486.86,76,5,41.9,41.9,5,3,1,2,6.457142857142857,36.2,1,2024
2024-01-08,169639.1,10,4,0.5,3.0,0,0,5,7,-1.457142857142857,23.5,1,2024
2024-01-15,79631.94,90,5,0.7,6.6,0,0,7,7,-0.6714285714285715,32.6,1,2024
2024-01-22,53907.21,43,4,14.8,14.8,4,0,1,2,6.742857142857143,41.4,1,2024
2024-01-29,214161.63999999998,34,4,8.0,8.0,3,0,0,0,7.942857142857143,27.1,1,2024
2024-02-05,211315.6,81,5,44.8,44.8,6,3,0,1,8.328571428571427,34.4,2,2024
2024-02-12,87267.36,36,4,21.5,21.5,5,2,0,0,9.271428571428572,31.0,2,2024
2024-02-19,383707.15,65,5,21.4,21.4,6,2,0,1,7.442857142857143,38.3,2,2024
2024-02-26,218277.37,19,4,24.299999999999997,24.299999999999997,4,1,1,2,7.171428571428571,31.1,2,2024
2024-03-04,326251.94,71,5,2.6,2.6,1,0,1,0,7.085714285714286,23.1,3,2024
2024-03-11,217892.63999999998,69,5,40.9,40.9,5,1,0,0,9.942857142857141,26.4,3,2024
2024-03-18,299911.14,82,5,16.1,16.7,3,2,0,0,9.414285714285715,33.2,3,2024
2024-03-25,313238.44,28,5,17.5,17.5,5,0,0,0,9.414285714285715,28.6,3,2024
2024-04-01,314056.14,48,4,20.5,20.5,4,1,0,0,13.171428571428573,32.0,4,2024
2024-04-08,181463.65,61,5,12.299999999999999,12.299999999999999,3,1,0,0,13.9,35.6,4,2024
2024-04-15,374681.54,77,5,47.9,49.6,6,4,0,0,7.014285714285714,37.1,4,2024
2024-04-22,138395.16999999998,76,5,15.6,16.599999999999998,6,0,1,0,7.971428571428571,36.5,4,2024
2024-04-29,412416.19,30,5,26.7,26.7,6,2,0,0,14.385714285714286,23.7,4,2024
2024-05-06,256898.11,34,3,24.0,24.0,2,2,0,0,15.014285714285714,17.3,5,2024
2024-05-13,308320.73,44,5,38.9,38.9,5,5,0,0,16.7,22.5,5,2024
2024-05-20,200110.14,22,4,54.8,54.8,7,3,0,0,15.442857142857141,21.8,5,2024
2024-05-27,465374.65,88,5,26.7,26.7,5,2,0,0,14.914285714285715,22.8,5,2024
2024-06-03,284702.09,54,5,0.8999999999999999,0.8999999999999999,0,0,0,0,14.200000000000001,19.7,6,2024
2024-06-10,293083.89,67,5,35.8,35.8,5,2,0,0,13.185714285714285,41.3,6,2024
2024-06-17,111375.99,74,5,35.9,35.9,5,1,0,0,16.47142857142857,18.0,6,2024
2024-06-24,363970.99,113,5,10.200000000000001,10.200000000000001,1,1,0,0,20.599999999999998,19.4,6,2024
2024-07-01,537823.52,42,5,15.899999999999999,15.899999999999999,3,1,0,0,15.5,33.9,7,2024
2024-07-08,532319.74,77,5,40.9,40.9,3,2,0,0,17.557142857142857,25.4,7,2024
2024-07-15,585786.12,52,5,9.9,9.9,4,0,0,0,20.614285714285717,24.0,7,2024
2024-07-22,33651.41,16,3,21.7,21.7,3,1,0,0,19.114285714285717,20.9,7,2024
2024-08-12,49500.0,3,1,20.2,20.2,5,2,0,0,21.657142857142855,20.7,8,2024
2024-08-19,88389.53,13,4,20.5,20.5,4,2,0,0,18.67142857142857,35.2,8,2024
2024-08-26,296185.15,116,5,7.2,7.2,2,1,0,0,19.82857142857143,18.6,8,2024
2024-09-02,178082.69999999998,25,4,28.400000000000002,28.400000000000002,6,2,0,0,20.071428571428573,20.7,9,2024
