resolution,scope,feature,lag,n,spearman_r,p,q_fdr
weekly,pooled,tmin_under_2°C,0,335,-0.18727475081315748,0.0005701924459898644,0.5928630139644606
weekly,pooled,tmin_under_1°C,0,335,-0.1757971163613067,0.001234505457678303,0.5928630139644606
weekly,pooled,tmin_under_0°C,0,335,-0.16961634719509328,0.001836398252399161,0.5928630139644606
weekly,pooled,tmin_under_3°C,0,335,-0.16529864370481706,0.002404889591352045,0.5928630139644606
weekly,pooled,tmean_under_4°C,0,335,-0.16346011826284534,0.0026923842596024553,0.5928630139644606
weekly,gilde,tmin_under_0°C,0,172,-0.2140759484003222,0.004804255505254717,0.7919431528050608
weekly,gilde,tmin_under_1°C,0,172,-0.1994781008822223,0.008703790074107537,0.7919431528050608
weekly,ummels,tmin_under_2°C,0,163,-0.19931268450132117,0.010750192536634392,0.7919431528050608
weekly,pooled,tmean_under_6°C,0,335,-0.13894821839447166,0.01089570764127558,0.7919431528050608
weekly,pooled,tmax_under_5°C,0,335,-0.13732036407913567,0.011872537160869204,0.7919431528050608
weekly,pooled,tmin_under_-1°C,0,335,-0.1358322806366742,0.012832308663194033,0.7919431528050608
monthly,pooled,tmin_under_3°C,2,79,0.27856534609332684,0.012922566745092541,0.7919431528050608
weekly,ummels,tmin_under_3°C,0,163,-0.1943092599006037,0.012939917660688416,0.7919431528050608
monthly,ummels,temp_max_c_max,0,42,0.3795632270851822,0.0131687130135878,0.7919431528050608
weekly,pooled,snow_over_0.1cm,0,335,-0.13454699625662922,0.013715625732544008,0.7919431528050608
weekly,ummels,wind_max_kmh_mean,0,163,-0.19184400430339468,0.014155916291836317,0.7919431528050608
weekly,ummels,snow_over_0.1cm,0,163,-0.1895795517911151,0.0153597094720091,0.7919431528050608
monthly,ummels,temp_max_c_max,2,40,0.3792860832541627,0.015791145383557716,0.7919431528050608
weekly,gilde,tmean_under_4°C,0,172,-0.18380497676281865,0.01579569950824462,0.7919431528050608
weekly,gilde,tmin_under_-1°C,0,172,-0.18320413169547445,0.01614700472965764,0.7919431528050608
monthly,pooled,snow_over_5cm,2,79,0.26944791829609005,0.016335760878845366,0.7919431528050608
weekly,ummels,tmax_over_24°C,2,161,0.1887560382348651,0.016485735589648647,0.7919431528050608
monthly,pooled,tmin_under_-1°C,0,83,-0.2618595304474799,0.016785990049675056,0.7919431528050608
weekly,gilde,tmin_under_2°C,0,172,-0.1780078251730187,0.019479911307133946,0.7919431528050608
weekly,pooled,snow_over_0.5cm,0,335,-0.12551863535387567,0.02156883912287205,0.7919431528050608
weekly,ummels,rain_over_10mm,2,161,0.1785220161138445,0.023465269511596287,0.7919431528050608
weekly,pooled,tmean_under_2°C,0,335,-0.12353651550557977,0.02374028063726264,0.7919431528050608
monthly,gilde,precip_over_1mm,2,39,0.3613445544831429,0.02381196464315068,0.7919431528050608
weekly,ummels,tmax_over_26°C,2,161,0.17772754455373238,0.024100337308986263,0.7919431528050608
weekly,pooled,gust_over_50km/h,1,333,-0.12282283907884024,0.02500203629554099,0.7919431528050608
monthly,ummels,rain_over_15mm,2,40,0.3520797455297631,0.025879395101256978,0.7919431528050608
weekly,ummels,precip_over_15mm,2,161,0.17516594137901723,0.026249479443212664,0.7919431528050608
