weather_metric,r_month_adj,p_month_adj,n
workable_days,0.14700897832129922,0.06111976499518716,163
frost_days,-0.14374684270355154,0.0671554600450214,163
cold_days,-0.12482000580489784,0.11238903460149245,163
storm_days,-0.12345633382827632,0.11639947808228458,163
temp_mean_c,0.0907197663854573,0.249446287768291,163
heavy_rain_days,-0.06668355391606196,0.39769304385782345,163
windy_days,-0.05244839707421804,0.5061011125998751,163
rain_mm,0.015515811561627537,0.8441562611412624,163
heat_days,-0.01107815975956368,0.8883816452523696,163
rain_days,0.0010645357940161533,0.9892396633183305,163
