weather_metric,lag_weeks,n,pearson_r,pearson_p,spearman_r,spearman_p
workable_days,0,42,0.41898853263203395,0.005749256412640985,0.36707583497112145,0.016790028961587673
frost_days,0,42,-0.3483359993187117,0.02377973324511302,-0.2601343650219675,0.09615872972601562
windy_days,0,42,-0.3190620047262175,0.03944349257198736,-0.24071765240120285,0.12462945426236127
cold_days,0,42,-0.1923053418820333,0.2224280718412075,-0.18866765052880052,0.23146681524510568
rain_mm,0,42,0.1741097453321955,0.270132804788562,0.11701308708603822,0.4605223817184078
rain_days,0,42,0.17101878580375982,0.27886046142068377,0.108253554431539,0.49498566198224514
temp_mean_c,0,42,0.1313581947713881,0.40698600975353993,0.13507819463576695,0.39371088176803154
heat_days,0,42,0.07573419390865957,0.6335848732024875,0.05790308187103589,0.7156817553068797
heavy_rain_days,0,42,0.0756768668077752,0.6338426164755293,0.06271795166227444,0.6931519249495518
storm_days,0,42,0.012157180343691232,0.9390908593606082,0.022641275639079847,0.8868255201506258
