weather_metric,lag_weeks,n,pearson_r,pearson_p,spearman_r,spearman_p
frost_days,0,163,-0.22991223349235906,0.0031532635879246464,-0.2126394860363946,0.006427352854597385
frost_days,1,162,-0.19383754996554795,0.013453543086991458,-0.14949788031786673,0.057597685015168446
cold_days,0,163,-0.18158027993450113,0.020354995203750156,-0.15755210639129397,0.04458245365171746
workable_days,0,163,0.1815424144124252,0.020381638869060685,0.18007740095438882,0.021435879531555957
temp_mean_c,0,163,0.135642433801712,0.08427055719273081,0.14660285039830662,0.061846029165547454
windy_days,0,163,-0.1179975347090692,0.13357718876510613,-0.105944196402076,0.17830680788432673
temp_mean_c,1,162,0.11452309122281487,0.14674297013254875,0.12152030219430136,0.12345349322609692
temp_mean_c,2,161,0.11192042138443113,0.15751151373617497,0.13659642625269752,0.08402093760008403
rain_days,1,162,0.10450819677632707,0.18566944847228406,0.12036012593827461,0.1271037107831892
cold_days,1,162,-0.09974642466976687,0.2066302473906419,-0.08290555258908011,0.29424666496048135
heat_days,1,162,0.09908773418640124,0.2096586404229411,0.07542007629565954,0.3401510436504731
cold_days,4,159,-0.0968646379886333,0.22450424739862382,-0.12386658375033784,0.1198100701896675
heat_days,2,161,0.09501966539339331,0.23053381166460749,0.1554292202350955,0.048977147266010886
temp_mean_c,4,159,0.0940946035525807,0.23810141429274242,0.11604141414951388,0.1452249288572312
heavy_rain_days,4,159,0.0865158102729223,0.27820972448942966,0.04412836894586348,0.5807316599720728
storm_days,0,163,-0.0835897557389426,0.28875930598139377,-0.12195747536171682,0.12093504192310403
frost_days,4,159,-0.0819699557597296,0.3043375181239011,-0.05385757974082109,0.5001527423166822
rain_days,4,159,0.07461758299448457,0.34990580606193167,0.057186813228566544,0.47399450608889454
rain_mm,0,163,0.0644479042522478,0.4137378106262122,0.06587154899818018,0.4034771729179763
rain_mm,4,159,0.06190704240167861,0.43821983704507583,0.05793006062038031,0.4682581200261627
rain_mm,2,161,0.05218953228741749,0.5108598793960191,0.08828688679256205,0.2654154035860276
rain_days,0,163,0.05095973833072579,0.518264279554834,0.06369111680449427,0.41925391838174186
workable_days,2,161,-0.04906300278871979,0.5365348906244111,-0.030323611511754174,0.7025701707310321
storm_days,4,159,0.04762610096044613,0.5510801636980397,-0.017406603681594465,0.8276055117806858
storm_days,1,162,-0.04572445430654766,0.5634173744616386,-0.05157083021138336,0.5145685400933023
workable_days,1,162,0.04302443885658931,0.5867008915420141,0.0681256089792071,0.38902642209404464
rain_days,2,161,0.042822426874751233,0.5896319556594578,0.07172218031695693,0.3659283235656995
heavy_rain_days,0,163,-0.039274379540565826,0.6186567849814419,-0.009462729412572916,0.9045742747076774
windy_days,1,162,-0.03702756258000882,0.6399312108861904,-0.04333488495441689,0.5840014201680992
heat_days,4,159,0.03402894467800054,0.6702343273058199,0.03334711044792091,0.6764667467508899
windy_days,4,159,0.032799713661307295,0.6814862773331126,0.06471772720395295,0.4176696943993741
rain_mm,1,162,0.0299809171224581,0.7048920673044559,0.06351979793560167,0.42195976229633947
storm_days,2,161,0.0266370081286254,0.737314514943905,-0.02534008082385388,0.749669248431695
heavy_rain_days,2,161,0.026348974709939313,0.7400526919281905,0.05686327468625883,0.4736998674601874
heat_days,0,163,0.016587873898579235,0.833539349082984,0.047574271563344615,0.546472200580027
windy_days,2,161,0.013723404401269783,0.8628229304934636,0.0254000254000381,0.7490967747060433
workable_days,4,159,0.011797195275458857,0.8826676257716128,-0.011994796993465803,0.8807167683275924
cold_days,2,161,-0.005639285597679788,0.9433997189438792,-0.05029181113888326,0.5263677404188855
heavy_rain_days,1,162,0.002756612799666651,0.9722277962465768,0.03015500617332558,0.7032587881240197
frost_days,2,161,-0.0020235790159687933,0.9796750535483776,-0.04903616650869181,0.5367580208193293
