month_start,revenue,invoice_lines,rain_mm,precip_mm,rain_days,heavy_rain_days,frost_days,cold_days,heat_days,windy_days,storm_days,workable_days,temp_mean_c,temp_max_c,wind_max_kmh
2023-01-01,140396.58000000002,219,18.0,27.0,3,2,12,16,0,1,2,2,1.2176470588235295,9.6,40.4
2023-02-01,281745.97,233,26.4,26.4,9,0,10,10,0,0,2,9,4.960714285714286,14.1,34.2
2023-03-01,373750.44,184,109.6,128.9,17,10,6,12,0,0,8,9,6.816129032258065,17.2,39.2
2023-04-01,577532.69,269,77.6,78.0,16,5,3,3,0,0,1,11,8.443333333333333,18.6,34.7
2023-05-01,609709.98,197,63.0,63.0,9,7,0,0,0,0,0,22,13.429032258064517,23.6,21.5
2023-06-01,733348.39,142,91.8,91.8,5,3,0,0,6,0,1,20,19.996666666666666,29.9,34.2
2023-07-01,783352.41,245,88.2,88.2,20,6,0,0,3,0,5,9,18.903225806451612,34.5,39.9
2023-08-01,160016.1,107,117.5,117.5,19,10,0,0,2,0,2,12,18.061290322580643,28.0,37.1
2023-09-01,1214856.97,496,92.9,92.9,8,5,0,0,7,0,1,16,18.48,30.5,32.6
2023-10-01,822651.04,343,120.60000000000001,120.60000000000001,17,12,0,0,0,0,3,14,13.63225806451613,25.6,35.1
2023-11-01,809255.22,314,127.5,135.4,22,9,3,7,0,1,8,6,7.26,15.4,43.0
2023-12-01,1556934.58,449,103.0,106.9,18,7,3,9,0,0,10,10,6.17741935483871,11.2,36.9
2024-01-01,82312.19,194,52.5,69.5,10,2,17,18,0,2,9,4,2.7193548387096773,12.8,44.6
2024-02-01,614007.48,309,110.6,112.1,18,7,1,2,0,1,6,10,7.751724137931035,16.8,47.4
2024-03-01,1197662.45,431,87.4,89.3,16,4,0,1,0,0,3,15,9.006451612903225,18.4,34.7
2024-04-01,850598.47,297,113.8,119.5,21,9,1,3,0,0,7,8,10.523333333333333,24.6,36.5
2024-05-01,1053250.51,396,195.2,195.2,20,15,0,0,0,0,0,11,14.838709677419354,25.1,26.6
2024-06-01,1039824.64,376,89.5,89.5,13,5,0,0,2,0,1,15,15.983333333333333,28.8,37.1
2024-07-01,918119.88,209,88.5,88.5,17,2,0,0,3,0,1,13,18.451612903225808,30.4,31.2
2024-08-01,628211.24,206,98.5,98.5,12,7,0,0,4,0,1,17,19.990322580645163,32.7,33.9
2024-09-01,1299435.24,199,123.1,123.1,16,9,0,0,2,0,2,13,15.733333333333333,30.8,35.7
2024-10-01,1096092.08,246,95.7,95.7,12,5,0,0,0,0,0,19,12.480645161290322,22.6,29.7
2024-11-01,1090315.6300000001,195,64.6,75.8,9,4,4,7,0,0,6,17,6.83,16.8,38.8
2024-12-01,1650102.98,238,63.9,78.10000000000001,12,4,7,17,0,0,6,12,4.6,13.0,37.9
2025-01-01,629675.26,219,103.0,135.8,15,8,15,22,0,1,10,2,2.3129032258064517,12.6,42.4
2025-02-01,1168279.73,372,23.3,28.5,7,1,13,20,0,0,1,9,3.789285714285714,17.0,28.3
2025-03-01,1031950.42,90,8.9,8.9,5,0,9,11,0,0,0,18,7.567741935483871,21.3,26.2
2025-04-01,1292703.25,217,61.800000000000004,61.800000000000004,10,6,0,0,0,0,0,20,11.57,24.0,24.7
2025-05-01,1281953.8800000001,208,50.8,50.8,8,5,0,0,0,0,1,23,14.464516129032257,26.2,30.7
2025-06-01,1270736.35,101,50.300000000000004,50.300000000000004,9,4,0,0,8,0,4,14,19.333333333333332,32.0,30.4
2025-07-01,1096211.08,219,70.1,70.1,16,6,0,0,3,0,0,12,19.225806451612904,36.2,23.2
2025-08-01,545168.69,142,34.9,34.9,9,2,0,0,6,0,0,16,19.32903225806452,32.3,22.8
2025-09-01,1131963.94,191,95.5,95.5,10,4,0,0,1,0,3,19,15.46,28.4,31.1
2025-10-01,1328372.04,226,72.2,72.2,13,5,0,0,0,1,7,18,11.680645161290323,17.5,41.1
2025-11-01,1267145.51,251,48.3,53.8,15,2,2,10,0,0,1,13,7.9766666666666675,17.4,28.4
2025-12-01,955290.77,226,28.4,28.4,7,2,8,11,0,0,0,16,5.83225806451613,14.3,30.0
2026-01-01,247511.34,86,39.9,61.6,6,3,16,22,0,0,3,11,2.803225806451613,11.8,35.6
2026-02-01,805571.46,99,87.7,98.1,14,6,4,11,0,0,2,10,6.542857142857143,18.7,32.0
2026-03-01,657901.46,254,57.300000000000004,66.2,9,6,1,4,0,0,3,21,8.26774193548387,17.8,34.5
2026-04-01,615433.22,143,32.1,32.1,8,2,0,0,0,0,0,22,10.9,21.6,27.4
2026-05-01,690282.9,195,96.3,96.3,17,7,0,0,4,0,0,11,15.100000000000001,31.3,23.4
2026-06-01,176291.78,19,10.6,10.6,1,1,0,0,0,0,0,1,17.85,22.5,19.1
