week_start,revenue,invoice_lines,active_days,rain_mm,precip_mm,rain_days,heavy_rain_days,frost_days,cold_days,heat_days,windy_days,storm_days,workable_days,temp_mean_c,temp_max_c,wind_max_kmh
2023-01-09,-49541.71,63,1,6.4,6.6,1,1,0,0,0,1,1,0,5.9,9.6,40.4
2023-01-16,55964.090000000004,90,3,6.7,15.100000000000001,1,1,6,7,0,0,0,0,0.4428571428571429,6.3,28.4
2023-01-23,68215.96,57,4,0.9,1.2999999999999998,0,0,6,7,0,0,0,1,0.4142857142857143,4.1,21.7
2023-01-30,138383.49,11,3,13.7,13.7,4,0,0,2,0,0,2,3,5.928571428571429,8.6,33.1
2023-02-06,62784.8,128,3,0.1,0.1,0,0,4,5,0,0,0,3,2.6,9.0,19.9
2023-02-13,91736.81,89,4,9.5,9.5,3,0,2,0,0,0,1,2,7.585714285714286,13.2,34.2
2023-02-27,149617.24,35,3,2.8,3.0999999999999996,1,0,5,7,0,0,0,1,1.442857142857143,8.4,20.6
2023-03-06,12216.029999999999,36,2,38.9,56.2,4,3,2,4,0,0,1,1,3.8857142857142857,11.6,35.5
2023-03-13,13990.14,29,2,19.7,21.0,5,2,0,1,0,0,1,2,9.214285714285714,17.2,39.2
2023-03-20,73693.1,61,3,28.1,28.1,4,3,0,0,0,0,4,3,9.771428571428572,13.9,34.5
2023-03-27,178833.04,37,2,34.9,35.3,5,3,1,2,0,0,2,2,8.014285714285714,15.4,35.9
2023-04-03,126965.45,30,3,8.200000000000001,8.200000000000001,2,0,3,3,0,0,0,2,6.1000000000000005,15.1,20.1
2023-04-10,44334.04,77,3,22.6,22.6,5,1,0,0,0,0,1,2,8.914285714285715,15.9,34.7
2023-04-17,319529.38,77,4,20.6,21.0,5,2,0,0,0,0,0,2,9.985714285714286,17.5,30.3
2023-04-24,86703.82,85,3,11.4,11.4,2,1,0,0,0,0,0,5,9.1,18.6,27.5
2023-05-01,188797.34,55,3,25.3,25.3,3,3,0,0,0,0,0,4,12.828571428571427,22.4,20.6
2023-05-08,47.61000000000058,22,3,33.5,33.5,4,4,0,0,0,0,0,3,13.9,20.2,21.5
2023-05-15,211032.35,51,2,3.3,3.3,2,0,0,0,0,0,0,5,12.385714285714286,22.9,21.2
2023-05-22,116176.94,45,2,0.9,0.9,0,0,0,0,0,0,0,7,13.799999999999999,23.0,19.7
2023-05-29,152655.74,25,3,0.0,0.0,0,0,0,0,0,0,0,7,15.442857142857141,23.6,19.9
2023-06-05,86862.29000000001,23,3,4.3,4.3,1,0,0,0,2,0,0,4,20.342857142857145,29.0,18.6
2023-06-12,28470.56,63,3,0.2,0.2,0,0,0,0,2,0,0,5,21.385714285714283,28.9,21.9
2023-06-19,443497.99,10,3,85.1,85.1,3,3,0,0,2,0,1,3,21.557142857142857,29.9,34.2
2023-06-26,115517.55,45,3,7.6,7.6,3,0,0,0,0,0,0,4,18.585714285714285,23.5,28.3
2023-07-03,78802.11,9,1,17.599999999999998,17.599999999999998,3,2,0,0,2,0,1,3,19.642857142857142,34.5,39.9
2023-07-10,135431.16,96,5,7.6000000000000005,7.6000000000000005,2,0,0,0,1,0,2,4,21.142857142857142,30.1,31.6
2023-07-17,287256.35,68,4,12.4,12.4,6,0,0,0,0,0,1,1,18.04285714285714,24.7,32.8
2023-07-24,281862.79,72,4,35.8,35.8,6,3,0,0,0,0,0,1,17.32857142857143,22.3,29.3
2023-07-31,49910.21,2,1,58.1,58.1,7,6,0,0,0,0,3,0,16.32857142857143,23.1,37.1
2023-08-21,70733.68,49,3,25.3,25.3,4,2,0,0,1,0,0,3,19.157142857142855,28.0,23.1
2023-08-28,163993.9,61,4,29.5,29.5,4,2,0,0,0,0,0,3,15.714285714285714,23.4,24.0
2023-09-04,181126.56,125,2,0.0,0.0,0,0,0,0,6,0,0,1,21.97142857142857,30.5,19.8
2023-09-11,354039.21,124,4,58.0,58.0,4,2,0,0,1,0,0,3,18.957142857142856,28.5,17.6
2023-09-18,222505.34,126,5,18.5,18.5,2,2,0,0,0,0,1,5,16.414285714285715,22.8,32.6
2023-09-25,332564.17,116,4,2.3,2.3,1,0,0,0,0,0,0,6,16.82857142857143,24.4,26.1
2023-10-02,134987.15,185,4,5.7,5.7,1,1,0,0,0,0,0,6,16.02857142857143,25.6,27.4
2023-10-09,246639.55,45,2,15.8,15.8,3,2,0,0,0,0,2,4,15.7,23.4,35.1
2023-10-16,135134.31,74,4,38.4,38.4,5,3,0,0,0,0,0,2,11.657142857142857,19.6,30.2
2023-10-23,232611.65,34,4,50.7,50.7,6,5,0,0,0,0,1,1,11.228571428571428,15.6,34.2
2023-10-30,229656.99000000002,66,4,22.700000000000003,22.700000000000003,6,1,0,0,0,1,3,1,10.742857142857144,15.4,43.0
2023-11-06,133576.56,76,4,25.3,25.3,5,2,0,0,0,0,2,2,8.014285714285714,11.4,34.0
2023-11-13,288920.28,64,4,44.2,44.2,7,4,0,0,0,0,3,0,8.842857142857143,14.9,34.5
2023-11-20,47684.97,66,2,23.5,27.8,4,2,0,3,0,0,0,3,5.957142857142857,11.1,29.0
2023-11-27,358588.55,86,4,21.799999999999997,28.2,2,1,6,7,0,0,0,0,0.5999999999999999,6.3,28.1
2023-12-04,100030.33,38,2,32.3,33.4,5,2,0,4,0,0,2,2,4.8999999999999995,10.6,36.9
2023-12-11,725019.46,175,5,10.5,10.5,3,0,0,1,0,0,1,4,6.914285714285714,11.2,32.8
2023-12-18,542594.87,161,5,45.0,45.0,6,4,0,1,0,0,3,1,6.914285714285714,10.6,35.6
2023-12-25,13396.169999999998,36,1,15.2,15.2,4,1,0,0,0,0,4,3,8.9,10.9,34.8
2024-01-15,25902.97,35,3,0.0,16.200000000000003,0,0,7,7,0,0,1,0,-1.7428571428571427,5.8,36.2
2024-01-22,34384.64,59,4,13.0,13.4,4,0,2,2,0,1,4,1,6.3999999999999995,12.8,44.6
2024-01-29,70077.56,152,4,12.399999999999999,12.399999999999999,3,1,0,0,0,0,0,4,7.6571428571428575,12.8,30.6
2024-02-05,254978.41,122,5,43.5,44.9,6,3,0,0,0,0,4,1,8.214285714285714,13.4,35.5
2024-02-19,222622.9,108,5,23.400000000000002,23.5,5,2,0,1,0,1,2,2,7.257142857142857,13.6,47.4
2024-02-26,228564.03,43,2,21.7,21.7,1,1,1,1,0,0,0,5,7.285714285714286,15.0,24.7
2024-03-04,268266.79,263,5,3.4000000000000004,3.4000000000000004,2,0,0,1,0,0,0,5,7.1000000000000005,14.4,24.5
2024-03-11,277121.37,62,3,48.800000000000004,48.800000000000004,5,3,0,0,0,0,0,2,9.728571428571428,17.2,28.9
2024-03-18,294171.86,74,4,21.2,23.1,4,1,0,0,0,0,1,3,9.542857142857143,18.4,32.1
2024-03-25,217891.59,16,2,12.1,12.1,5,0,0,0,0,0,2,2,9.385714285714286,17.5,34.7
2024-04-01,257419.94,97,4,26.6,26.6,6,3,0,0,0,0,2,1,13.085714285714285,24.6,32.7
2024-04-08,269021.82,79,4,7.7,7.7,2,1,0,0,0,0,1,5,13.657142857142857,22.6,33.5
2024-04-15,83633.56999999999,62,2,59.5,63.8,7,4,0,1,0,0,3,0,6.371428571428572,11.9,36.5
2024-04-22,223332.38,43,4,16.0,17.400000000000002,5,1,1,2,0,0,1,1,7.757142857142857,17.3,34.8
2024-04-29,337540.45,48,5,37.1,37.1,4,3,0,0,0,0,0,3,14.214285714285714,24.5,26.6
2024-05-06,9240.49,45,2,17.9,17.9,2,2,0,0,0,0,0,5,14.6,24.9,16.2
2024-05-13,317948.93,128,5,34.5,34.5,5,3,0,0,0,0,0,2,16.02857142857143,25.1,21.2
2024-05-20,236174.63999999998,55,4,69.1,69.1,5,4,0,0,0,0,0,2,14.957142857142856,21.9,21.2
2024-05-27,169536.76,136,5,44.3,44.3,6,3,0,0,0,0,0,1,14.428571428571429,18.6,25.9
2024-06-03,284611.99,88,4,1.5,1.5,1,0,0,0,0,0,0,6,14.042857142857143,20.5,22.4
2024-06-10,208008.69,108,5,16.3,16.3,4,2,0,0,0,0,1,3,13.257142857142856,18.9,37.1
2024-06-17,121329.67,74,5,52.2,52.2,5,2,0,0,0,0,0,2,16.657142857142855,22.5,19.8
2024-06-24,425874.29,106,4,15.8,15.8,2,1,0,0,2,0,0,3,20.25714285714286,28.8,22.6
2024-07-01,118652.94,44,4,14.4,14.4,5,0,0,0,0,0,1,2,15.200000000000001,21.4,31.2
2024-07-08,414941.0,65,5,44.5,44.5,3,1,0,0,1,0,0,4,17.814285714285713,30.0,23.6
2024-07-15,384525.94,100,4,13.3,13.3,4,1,0,0,1,0,0,3,20.7,30.4,25.5
2024-08-12,78740.42,55,3,26.6,26.6,4,3,0,0,2,0,0,2,21.8,32.7,21.0
2024-08-19,316616.14,93,5,12.299999999999999,12.299999999999999,3,1,0,0,1,0,1,4,18.571428571428573,28.6,33.9
2024-08-26,232854.68,58,4,11.3,11.3,2,1,0,0,2,0,0,3,20.042857142857144,30.8,16.6
2024-09-02,76488.31,31,4,52.1,52.1,5,3,0,0,1,0,0,2,19.771428571428572,28.4,20.8
2024-09-09,595291.27,55,5,24.9,24.9,4,2,0,0,0,0,0,3,12.328571428571427,18.6,30.6
2024-09-16,366200.87,60,5,1.6,1.6,0,0,0,0,0,0,0,7,16.7,24.3,25.3
2024-09-23,171765.65,36,5,39.5,39.5,6,4,0,0,0,0,2,1,13.457142857142857,20.1,35.7
2024-09-30,226901.19,62,5,6.9,6.9,1,0,0,0,0,0,0,6,10.7,16.6,29.7
2024-10-07,341593.13,42,5,59.5,59.5,6,2,0,0,0,0,0,1,12.457142857142857,19.0,26.6
2024-10-14,175211.63,60,3,22.7,22.7,3,2,0,0,0,0,0,4,13.799999999999999,22.6,28.0
2024-10-21,354255.47000000003,55,5,9.3,9.3,2,1,0,0,0,0,0,5,12.914285714285715,21.0,25.5
2024-10-28,312028.77,56,5,2.4,2.4,1,0,0,0,0,0,0,6,11.157142857142857,16.6,21.8
2024-11-04,149674.54,45,3,0.1,0.1,0,0,0,1,0,0,0,7,7.2,13.5,14.9
2024-11-11,303372.86,42,5,17.5,17.7,3,1,0,0,0,0,0,4,7.471428571428571,11.4,25.5
2024-11-18,208086.13,11,3,35.8,46.8,3,2,2,4,0,0,4,2,4.857142857142857,16.8,38.8
2024-11-25,204973.13,85,4,10.8,10.8,3,1,3,3,0,0,2,1,6.385714285714286,16.2,35.3
2024-12-02,678553.68,79,5,27.200000000000003,27.200000000000003,4,2,0,1,0,0,2,3,6.271428571428571,11.2,37.9
2024-12-09,465060.5,68,6,2.8000000000000003,2.8000000000000003,1,0,2,6,0,0,0,4,2.942857142857143,9.1,23.0
2024-12-16,505757.45,89,5,28.5,38.0,5,2,0,2,0,0,4,2,7.1571428571428575,13.0,36.1
2024-12-30,13113.85,4,2,33.2,38.2,3,2,3,5,0,0,3,1,2.6714285714285713,11.1,37.2
2025-01-06,7364.1,56,2,11.5,39.2,3,1,4,6,0,1,2,0,1.5999999999999999,12.6,42.4
2025-01-13,192411.95,14,2,1.3000000000000003,1.3000000000000003,1,0,6,7,0,0,0,0,-1.6428571428571428,3.7,14.3
2025-01-20,99848.86,61,3,43.5,43.6,5,4,3,5,0,0,3,0,3.5714285714285716,10.6,32.9
2025-01-27,317667.85,86,5,13.5,13.5,3,1,2,3,0,0,2,2,4.557142857142857,11.6,36.0
2025-02-03,296314.63,138,5,0.7,0.7,0,0,3,6,0,0,1,4,2.857142857142857,11.2,28.3
2025-02-10,189748.19,71,5,6.8999999999999995,12.1,2,0,5,7,0,0,0,1,1.5,5.9,23.1
2025-02-17,308148.93,86,4,1.5,1.5,1,0,3,3,0,0,0,3,5.742857142857143,17.0,26.9
2025-02-24,374067.98,77,5,14.5,14.5,4,1,1,4,0,0,0,2,5.885714285714286,13.6,23.9
2025-03-10,376395.14,49,5,2.1,2.1,1,0,5,5,0,0,0,2,4.285714285714286,16.3,18.5
2025-03-17,150944.2,21,2,2.4,2.4,2,0,2,2,0,0,0,3,9.685714285714285,21.3,20.6
2025-03-24,486039.66,19,3,4.0,4.0,2,0,0,0,0,0,0,5,8.871428571428572,15.9,26.2
2025-03-31,203638.25,72,4,0.1,0.1,0,0,0,0,0,0,0,7,10.657142857142857,21.1,24.7
2025-04-07,419514.75,60,4,3.3,3.3,1,0,0,0,0,0,0,6,10.957142857142857,24.0,22.5
2025-04-14,125627.23,52,3,33.7,33.7,6,4,0,0,0,0,0,1,11.042857142857143,19.6,17.2
2025-04-21,527654.0800000001,28,2,24.8,24.8,3,2,0,0,0,0,0,4,11.62857142857143,19.4,16.8
2025-04-28,202601.99,60,3,8.9,8.9,2,1,0,0,0,0,0,5,15.642857142857142,26.2,16.8
2025-05-05,171109.34,7,2,0.2,0.2,0,0,0,0,0,0,0,7,12.37142857142857,23.7,17.7
