company,rule,condition,n_weeks,raw_gap_pct,seasonadj_gap_pct,p_raw,p_seasonadj,verdict
Gilde (Valkenswaard),Frost week,≥2 frost days (min ≤0°C),30,-24.6,-15.5,0.0016,0.0755,WATCH
Gilde (Valkenswaard),Good week,≥6 workable days,25,20.8,13.0,0.07,0.2173,no signal
Gilde (Valkenswaard),Hard cold week,≥3 cold days (mean ≤5°C),35,-19.6,-10.5,0.0083,0.2354,no signal
Gilde (Valkenswaard),Heat week,≥2 hot days (max ≥28°C),15,28.5,25.7,0.2924,0.285,no signal
Gilde (Valkenswaard),Heavy-rain week,≥2 heavy-rain days (≥5mm),59,17.6,6.3,0.5357,0.579,no signal
Gilde (Valkenswaard),Wet week,≥4 rain days (≥1mm),69,11.1,-2.4,0.7358,0.8415,no signal
Ummels (Brunssum),Frost week,≥2 frost days (min ≤0°C),30,-37.0,-14.3,0.0059,0.3561,no signal
Ummels (Brunssum),Good week,≥6 workable days,22,4.4,2.1,0.1972,0.5781,no signal
Ummels (Brunssum),Hard cold week,≥3 cold days (mean ≤5°C),32,-28.6,-8.4,0.0581,0.6654,no signal
Ummels (Brunssum),Heat week,≥2 hot days (max ≥28°C),14,-16.7,-23.9,0.8104,0.5596,no signal
Ummels (Brunssum),Heavy-rain week,≥2 heavy-rain days (≥5mm),58,0.2,-0.3,0.9296,0.4784,no signal
Ummels (Brunssum),Wet week,≥4 rain days (≥1mm),63,20.1,7.2,0.6738,0.9769,no signal
