week_start,revenue,invoice_lines,active_days,rain_mm,rain_days,heavy_rain_days,frost_days,cold_days,heat_days,windy_days,bad_days,workable_days,temp_mean_c,company,month,year,t,log_rev
2023-01-02,118.16,3,1,3.5,1,0,0,0,0,0,1,3,9.925,gilde,1,2023,0,4.7720396382231245
2023-01-09,95218.54,31,6,55.6,7,3,0,0,0,0,7,0,7.814285714285715,gilde,1,2023,1,11.463929949717706
2023-01-16,57042.25,35,5,9.2,1,1,6,7,0,0,7,0,0.8142857142857142,gilde,1,2023,2,10.95154750031301
2023-01-23,70531.73,23,5,1.1,0,0,5,7,0,0,5,2,1.5714285714285714,gilde,1,2023,3,11.163817958470807
2023-01-30,177322.19,43,5,7.2,4,0,0,1,0,0,4,3,6.6571428571428575,gilde,1,2023,4,12.085723639335395
2023-02-06,226440.76,42,5,0.2,0,0,5,5,0,0,5,2,2.914285714285714,gilde,2,2023,5,12.330238644442439
2023-02-13,324919.58999999997,89,5,6.1,3,0,1,0,0,0,4,3,7.6000000000000005,gilde,2,2023,6,12.691333015315024
2023-02-20,88208.85,32,4,11.299999999999999,3,1,1,3,0,0,4,3,5.328571428571428,gilde,2,2023,7,11.387462577097203
2023-02-27,190361.99,48,4,1.0,0,0,5,7,0,0,5,2,2.3285714285714287,gilde,2,2023,8,12.15668274905727
2023-03-06,308404.23,62,5,39.1,5,3,3,5,0,0,7,0,3.914285714285714,gilde,3,2023,9,12.639166636530556
2023-03-13,140702.75,32,4,13.5,5,0,0,1,0,0,5,2,9.485714285714286,gilde,3,2023,10,11.854404788042963
2023-03-20,268780.56,53,5,34.0,6,3,0,0,0,1,6,1,9.828571428571427,gilde,3,2023,11,12.501650563587239
2023-03-27,268249.25,52,5,33.8,6,2,1,2,0,0,6,1,8.257142857142856,gilde,3,2023,12,12.499671864589688
2023-04-03,229483.12,51,5,7.800000000000001,2,1,2,3,0,0,4,3,6.585714285714286,gilde,4,2023,13,12.343584754579458
2023-04-10,174665.79,49,4,20.1,3,1,0,0,0,0,3,4,9.242857142857144,gilde,4,2023,14,12.070629655538504
2023-04-17,424978.95,97,5,15.7,4,1,0,0,0,0,4,3,10.228571428571428,gilde,4,2023,15,12.959794917268168
2023-04-24,83038.12999999999,56,4,27.7,3,2,1,0,0,0,4,3,9.071428571428571,gilde,4,2023,16,11.32705517887833
2023-05-01,350011.37,35,4,25.2,3,2,0,0,0,0,3,4,12.885714285714286,gilde,5,2023,17,12.765720918652233
2023-05-08,263650.73,40,5,39.1,4,3,0,0,0,0,4,3,14.357142857142858,gilde,5,2023,18,12.482380513777084
2023-05-15,319012.02,29,3,2.1,1,0,0,0,0,0,1,6,12.714285714285714,gilde,5,2023,19,12.672984061307883
2023-05-22,270143.19,38,5,1.3,0,0,0,0,0,0,0,7,14.028571428571428,gilde,5,2023,20,12.506707430736823
2023-05-29,197596.56,56,4,0.0,0,0,0,0,0,0,0,7,15.471428571428572,gilde,5,2023,21,12.193982655237486
2023-06-05,533400.59,97,5,0.1,0,0,0,0,3,0,3,4,20.814285714285713,gilde,6,2023,22,13.187027996841175
2023-06-12,284141.58,74,5,0.8,0,0,0,0,1,0,1,6,22.12857142857143,gilde,6,2023,23,12.55722791404973
2023-06-19,346129.47,34,5,45.2,2,2,0,0,2,0,3,4,21.728571428571428,gilde,6,2023,24,12.754568174799406
2023-06-26,235505.63,41,5,4.1,1,0,0,0,0,0,1,6,18.885714285714283,gilde,6,2023,25,12.369490098734593
2023-07-03,331098.92,36,5,12.2,3,0,0,0,3,0,5,2,19.785714285714285,gilde,7,2023,26,12.710172461675594
2023-07-10,203769.85,71,5,10.700000000000001,5,0,0,0,1,0,5,2,20.542857142857144,gilde,7,2023,27,12.22474644967065
2023-07-17,204494.31,37,5,10.7,5,0,0,0,0,0,5,2,17.642857142857142,gilde,7,2023,28,12.22829543011702
2023-07-24,432808.3,122,5,57.8,6,4,0,0,0,0,6,1,17.45714285714286,gilde,7,2023,29,12.978050183779692
2023-07-31,63.14000000000003,13,1,54.3,7,5,0,0,0,0,7,0,16.4,gilde,7,2023,30,4.145354483129846
2023-08-21,43590.0,3,1,16.3,4,2,0,0,0,0,4,3,19.0,gilde,8,2023,31,10.682583045232438
2023-08-28,46474.61,46,5,15.000000000000002,3,1,0,0,0,0,3,4,15.9,gilde,8,2023,32,10.746661420946044
2023-09-04,131062.04000000001,19,4,0.0,0,0,0,0,6,0,6,1,21.985714285714288,gilde,9,2023,33,11.783426077862247
2023-09-11,288444.1,47,5,19.1,4,2,0,0,1,0,5,2,18.957142857142856,gilde,9,2023,34,12.572256585324347
2023-09-18,434004.97,39,5,20.0,4,2,0,0,0,0,4,3,16.47142857142857,gilde,9,2023,35,12.980811264629876
2023-09-25,400822.1,78,5,3.9,1,0,0,0,0,0,1,6,16.82857142857143,gilde,9,2023,36,12.901272966953213
2023-10-02,478927.77999999997,39,5,6.7,1,1,0,0,0,0,1,6,16.285714285714285,gilde,10,2023,37,13.079305092583157
2023-10-09,443219.83,52,5,27.0,4,3,0,0,0,0,4,3,15.557142857142859,gilde,10,2023,38,13.001821156194067
2023-10-16,275618.75,69,5,30.7,4,2,0,0,0,0,4,3,11.799999999999999,gilde,10,2023,39,12.526773849189187
2023-10-23,330543.15,62,5,47.1,6,4,0,0,0,0,6,1,11.1,gilde,10,2023,40,12.708492489509638
2023-10-30,395045.88,87,5,29.2,7,3,0,0,0,1,7,0,10.799999999999999,gilde,10,2023,41,12.886757189036883
2023-11-06,48574.770000000004,51,5,15.2,3,1,0,0,0,0,3,4,8.328571428571427,gilde,11,2023,42,10.790859539288471
2023-11-13,479885.11,98,5,47.800000000000004,5,3,0,0,0,0,5,2,8.914285714285715,gilde,11,2023,43,13.081302000067627
2023-11-20,422384.26,70,5,10.299999999999999,4,0,1,3,0,0,5,2,6.3999999999999995,gilde,11,2023,44,12.95367074742232
2023-11-27,235248.61,69,5,23.3,2,1,6,7,0,0,7,0,0.5857142857142857,gilde,11,2023,45,12.368398148822306
2023-12-04,304679.35,89,5,21.5,5,1,1,4,0,0,6,1,4.742857142857143,gilde,12,2023,46,12.627015191098602
2023-12-11,489843.1,92,4,9.9,3,1,0,0,0,0,3,4,7.1,gilde,12,2023,47,13.101840414728903
2023-12-18,434782.81,73,6,41.3,6,4,0,1,0,0,6,1,7.685714285714285,gilde,12,2023,48,12.982601898029063
2023-12-25,56232.21,42,4,27.3,5,2,0,0,0,0,5,2,9.214285714285714,gilde,12,2023,49,10.93724500337715
2024-01-01,4486.86,76,5,41.9,5,3,1,2,0,0,6,1,6.457142857142857,gilde,1,2024,50,8.408908404241163
2024-01-08,169639.1,10,4,0.5,0,0,5,7,0,0,5,2,-1.457142857142857,gilde,1,2024,51,12.041428518221942
2024-01-15,79631.94,90,5,0.7,0,0,7,7,0,0,7,0,-0.6714285714285715,gilde,1,2024,52,11.285170547632108
2024-01-22,53907.21,43,4,14.8,4,0,1,2,0,1,5,2,6.742857142857143,gilde,1,2024,53,10.89501951418495
2024-01-29,214161.63999999998,34,4,8.0,3,0,0,0,0,0,3,4,7.942857142857143,gilde,1,2024,54,12.274486335990838
2024-02-05,211315.6,81,5,44.8,6,3,0,1,0,0,6,1,8.328571428571427,gilde,2,2024,55,12.261108029558548
2024-02-12,87267.36,36,4,21.5,5,2,0,0,0,0,5,2,9.271428571428572,gilde,2,2024,56,11.376731788754446
2024-02-19,383707.15,65,5,21.4,6,2,0,1,0,0,6,1,7.442857142857143,gilde,2,2024,57,12.857634910411178
