week_start,revenue,invoice_lines,active_days,rain_mm,rain_days,heavy_rain_days,frost_days,cold_days,heat_days,windy_days,bad_days,workable_days,temp_mean_c,company,month,year,t,log_rev
2023-01-09,-49541.71,63,1,6.4,1,1,0,0,0,1,1,0,5.9,ummels,1,2023,0,0.0
2023-01-16,55964.090000000004,90,3,6.7,1,1,6,7,0,0,7,0,0.4428571428571429,ummels,1,2023,1,10.932465514028568
2023-01-23,68215.96,57,4,0.9,0,0,6,7,0,0,6,1,0.4142857142857143,ummels,1,2023,2,11.130433834049015
2023-01-30,138383.49,11,3,13.7,4,0,0,2,0,0,4,3,5.928571428571429,ummels,1,2023,3,11.837784023142346
2023-02-06,62784.8,128,3,0.1,0,0,4,5,0,0,4,3,2.6,ummels,2,2023,4,11.047468284943752
2023-02-13,91736.81,89,4,9.5,3,0,2,0,0,0,5,2,7.585714285714286,ummels,2,2023,5,11.426678995364343
2023-02-27,149617.24,35,3,2.8,1,0,5,7,0,0,6,1,1.442857142857143,ummels,2,2023,6,11.915835578524533
2023-03-06,12216.029999999999,36,2,38.9,4,3,2,4,0,0,6,1,3.8857142857142857,ummels,3,2023,7,9.41050430269113
2023-03-13,13990.14,29,2,19.7,5,2,0,1,0,0,5,2,9.214285714285714,ummels,3,2023,8,9.546108074757418
2023-03-20,73693.1,61,3,28.1,4,3,0,0,0,0,4,3,9.771428571428572,ummels,3,2023,9,11.207664450999426
2023-03-27,178833.04,37,2,34.9,5,3,1,2,0,0,5,2,8.014285714285714,ummels,3,2023,10,12.094207912122485
2023-04-03,126965.45,30,3,8.200000000000001,2,0,3,3,0,0,5,2,6.1000000000000005,ummels,4,2023,11,11.751670281185069
2023-04-10,44334.04,77,3,22.6,5,1,0,0,0,0,5,2,8.914285714285715,ummels,4,2023,12,10.699508058258367
2023-04-17,319529.38,77,4,20.6,5,2,0,0,0,0,5,2,9.985714285714286,ummels,4,2023,13,12.67460450475355
2023-04-24,86703.82,85,3,11.4,2,1,0,0,0,0,2,5,9.1,ummels,4,2023,14,11.370253221774952
2023-05-01,188797.34,55,3,25.3,3,3,0,0,0,0,3,4,12.828571428571427,ummels,5,2023,15,12.148429443611235
2023-05-08,47.61000000000058,22,3,33.5,4,4,0,0,0,0,4,3,13.9,ummels,5,2023,16,3.8630428232064395
2023-05-15,211032.35,51,2,3.3,2,0,0,0,0,0,2,5,12.385714285714286,ummels,5,2023,17,12.259766718241817
2023-05-22,116176.94,45,2,0.9,0,0,0,0,0,0,0,7,13.799999999999999,ummels,5,2023,18,11.66286965275931
2023-05-29,152655.74,25,3,0.0,0,0,0,0,0,0,0,7,15.442857142857141,ummels,5,2023,19,11.935940599814408
2023-06-05,86862.29000000001,23,3,4.3,1,0,0,0,2,0,3,4,20.342857142857145,ummels,6,2023,20,11.372079270005615
2023-06-12,28470.56,63,3,0.2,0,0,0,0,2,0,2,5,21.385714285714283,ummels,6,2023,21,10.256625849906523
2023-06-19,443497.99,10,3,85.1,3,3,0,0,2,0,4,3,21.557142857142857,ummels,6,2023,22,13.002448548590722
2023-06-26,115517.55,45,3,7.6,3,0,0,0,0,0,3,4,18.585714285714285,ummels,6,2023,23,11.657177745452998
2023-07-03,78802.11,9,1,17.599999999999998,3,2,0,0,2,0,4,3,19.642857142857142,ummels,7,2023,24,11.27469505213723
2023-07-10,135431.16,96,5,7.6000000000000005,2,0,0,0,1,0,3,4,21.142857142857142,ummels,7,2023,25,11.816218745923228
2023-07-17,287256.35,68,4,12.4,6,0,0,0,0,0,6,1,18.04285714285714,ummels,7,2023,26,12.568130301645951
2023-07-24,281862.79,72,4,35.8,6,3,0,0,0,0,6,1,17.32857142857143,ummels,7,2023,27,12.549175671227697
2023-07-31,49910.21,2,1,58.1,7,6,0,0,0,0,7,0,16.32857142857143,ummels,7,2023,28,10.817980870028435
2023-08-21,70733.68,49,3,25.3,4,2,0,0,1,0,4,3,19.157142857142855,ummels,8,2023,29,11.166677117518658
2023-08-28,163993.9,61,4,29.5,4,2,0,0,0,0,4,3,15.714285714285714,ummels,8,2023,30,12.00758451099263
2023-09-04,181126.56,125,2,0.0,0,0,0,0,6,0,6,1,21.97142857142857,ummels,9,2023,31,12.106951292422332
2023-09-11,354039.21,124,4,58.0,4,2,0,0,1,0,4,3,18.957142857142856,ummels,9,2023,32,12.77716294869404
2023-09-18,222505.34,126,5,18.5,2,2,0,0,0,0,2,5,16.414285714285715,ummels,9,2023,33,12.312706380300437
2023-09-25,332564.17,116,4,2.3,1,0,0,0,0,0,1,6,16.82857142857143,ummels,9,2023,34,12.714588112938596
2023-10-02,134987.15,185,4,5.7,1,1,0,0,0,0,1,6,16.02857142857143,ummels,10,2023,35,11.812934867704984
2023-10-09,246639.55,45,2,15.8,3,2,0,0,0,0,3,4,15.7,ummels,10,2023,36,12.415683238036797
2023-10-16,135134.31,74,4,38.4,5,3,0,0,0,0,5,2,11.657142857142857,ummels,10,2023,37,11.814024451735508
2023-10-23,232611.65,34,4,50.7,6,5,0,0,0,0,6,1,11.228571428571428,ummels,10,2023,38,12.357125603796963
2023-10-30,229656.99000000002,66,4,22.700000000000003,6,1,0,0,0,1,6,1,10.742857142857144,ummels,10,2023,39,12.344342126913194
2023-11-06,133576.56,76,4,25.3,5,2,0,0,0,0,5,2,8.014285714285714,ummels,11,2023,40,11.802430075589891
2023-11-13,288920.28,64,4,44.2,7,4,0,0,0,0,7,0,8.842857142857143,ummels,11,2023,41,12.573906081290716
2023-11-20,47684.97,66,2,23.5,4,2,0,3,0,0,4,3,5.957142857142857,ummels,11,2023,42,10.772371532884158
2023-11-27,358588.55,86,4,21.799999999999997,2,1,6,7,0,0,7,0,0.5999999999999999,ummels,11,2023,43,12.78993090991669
2023-12-04,100030.33,38,2,32.3,5,2,0,4,0,0,5,2,4.8999999999999995,ummels,12,2023,44,11.513228718984081
2023-12-11,725019.46,175,5,10.5,3,0,0,1,0,0,3,4,6.914285714285714,ummels,12,2023,45,13.493953774855898
2023-12-18,542594.87,161,5,45.0,6,4,0,1,0,0,6,1,6.914285714285714,ummels,12,2023,46,13.204118224683837
2023-12-25,13396.169999999998,36,1,15.2,4,1,0,0,0,0,4,3,8.9,ummels,12,2023,47,9.502724124188903
2024-01-15,25902.97,35,3,0.0,0,0,7,7,0,0,7,0,-1.7428571428571427,ummels,1,2024,48,10.162112912927991
2024-01-22,34384.64,59,4,13.0,4,0,2,2,0,1,6,1,6.3999999999999995,ummels,1,2024,49,10.445365232017581
2024-01-29,70077.56,152,4,12.399999999999999,3,1,0,0,0,0,3,4,7.6571428571428575,ummels,1,2024,50,11.157357907652537
2024-02-05,254978.41,122,5,43.5,6,3,0,0,0,0,6,1,8.214285714285714,ummels,2,2024,51,12.448934153889471
2024-02-19,222622.9,108,5,23.400000000000002,5,2,0,1,0,1,5,2,7.257142857142857,ummels,2,2024,52,12.31323458764461
2024-02-26,228564.03,43,2,21.7,1,1,1,1,0,0,2,5,7.285714285714286,ummels,2,2024,53,12.339571668880817
2024-03-04,268266.79,263,5,3.4000000000000004,2,0,0,1,0,0,2,5,7.1000000000000005,ummels,3,2024,54,12.499737249400948
2024-03-11,277121.37,62,3,48.800000000000004,5,3,0,0,0,0,5,2,9.728571428571428,ummels,3,2024,55,12.532210848050685
2024-03-18,294171.86,74,4,21.2,4,1,0,0,0,0,4,3,9.542857142857143,ummels,3,2024,56,12.591919433356576
2024-03-25,217891.59,16,2,12.1,5,0,0,0,0,0,5,2,9.385714285714286,ummels,3,2024,57,12.291752924501784
2024-04-01,257419.94,97,4,26.6,6,3,0,0,0,0,6,1,13.085714285714285,ummels,4,2024,58,12.45846403812122
2024-04-08,269021.82,79,4,7.7,2,1,0,0,0,0,2,5,13.657142857142857,ummels,4,2024,59,12.502547770535948
2024-04-15,83633.56999999999,62,2,59.5,7,4,0,1,0,0,7,0,6.371428571428572,ummels,4,2024,60,11.334200273495075
2024-04-22,223332.38,43,4,16.0,5,1,1,2,0,0,6,1,7.757142857142857,ummels,4,2024,61,12.316416434033211
2024-04-29,337540.45,48,5,37.1,4,3,0,0,0,0,4,3,14.214285714285714,ummels,4,2024,62,12.729440633964915
2024-05-06,9240.49,45,2,17.9,2,2,0,0,0,0,2,5,14.6,ummels,5,2024,63,9.131350193532704
2024-05-13,317948.93,128,5,34.5,5,3,0,0,0,0,5,2,16.02857142857143,ummels,5,2024,64,12.66964605138088
2024-05-20,236174.63999999998,55,4,69.1,5,4,0,0,0,0,5,2,14.957142857142856,ummels,5,2024,65,12.372326810342747
2024-05-27,169536.76,136,5,44.3,6,3,0,0,0,0,6,1,14.428571428571429,ummels,5,2024,66,12.040825055445401
2024-06-03,284611.99,88,4,1.5,1,0,0,0,0,0,1,6,14.042857142857143,ummels,6,2024,67,12.55888209305476
2024-06-10,208008.69,108,5,16.3,4,2,0,0,0,0,4,3,13.257142857142856,ummels,6,2024,68,12.245335136656896
2024-06-17,121329.67,74,5,52.2,5,2,0,0,0,0,5,2,16.657142857142855,ummels,6,2024,69,11.706266665187279
2024-06-24,425874.29,106,4,15.8,2,1,0,0,2,0,4,3,20.25714285714286,ummels,6,2024,70,12.961899487806022
2024-07-01,118652.94,44,4,14.4,5,0,0,0,0,0,5,2,15.200000000000001,ummels,7,2024,71,11.683958040317982
2024-07-08,414941.0,65,5,44.5,3,1,0,0,1,0,3,4,17.814285714285713,ummels,7,2024,72,12.935891620431212
2024-07-15,384525.94,100,4,13.3,4,1,0,0,1,0,4,3,20.7,ummels,7,2024,73,12.859766529891498
2024-08-12,78740.42,55,3,26.6,4,3,0,0,2,0,5,2,21.8,ummels,8,2024,74,11.273911898494172
2024-08-19,316616.14,93,5,12.299999999999999,3,1,0,0,1,0,3,4,18.571428571428573,ummels,8,2024,75,12.665445404283162
2024-08-26,232854.68,58,4,11.3,2,1,0,0,2,0,4,3,20.042857142857144,ummels,8,2024,76,12.358169846984582
2024-09-02,76488.31,31,4,52.1,5,3,0,0,1,0,5,2,19.771428571428572,ummels,9,2024,77,11.244893197680403
2024-09-09,595291.27,55,5,24.9,4,2,0,0,0,0,4,3,12.328571428571427,ummels,9,2024,78,13.296806094159098
2024-09-16,366200.87,60,5,1.6,0,0,0,0,0,0,0,7,16.7,ummels,9,2024,79,12.810937286970681
2024-09-23,171765.65,36,5,39.5,6,4,0,0,0,0,6,1,13.457142857142857,ummels,9,2024,80,12.053886326748485
2024-09-30,226901.19,62,5,6.9,1,0,0,0,0,0,1,6,10.7,ummels,9,2024,81,12.332269915355326
2024-10-07,341593.13,42,5,59.5,6,2,0,0,0,0,6,1,12.457142857142857,ummels,10,2024,82,12.7413756294531
2024-10-14,175211.63,60,3,22.7,3,2,0,0,0,0,3,4,13.799999999999999,ummels,10,2024,83,12.073749836559827
2024-10-21,354255.47000000003,55,5,9.3,2,1,0,0,0,0,2,5,12.914285714285715,ummels,10,2024,84,12.777773598506403
2024-10-28,312028.77,56,5,2.4,1,0,0,0,0,0,1,6,11.157142857142857,ummels,10,2024,85,12.650850674078859
2024-11-04,149674.54,45,3,0.1,0,0,0,1,0,0,0,7,7.2,ummels,11,2024,86,11.916218482463291
2024-11-11,303372.86,42,5,17.5,3,1,0,0,0,0,3,4,7.471428571428571,ummels,11,2024,87,12.622717889027921
2024-11-18,208086.13,11,3,35.8,3,2,2,4,0,0,5,2,4.857142857142857,ummels,11,2024,88,12.245707359511746
2024-11-25,204973.13,85,4,10.8,3,1,3,3,0,0,6,1,6.385714285714286,ummels,11,2024,89,12.230634176358976
2024-12-02,678553.68,79,5,27.200000000000003,4,2,0,1,0,0,4,3,6.271428571428571,ummels,12,2024,90,13.427718870823968
2024-12-09,465060.5,68,6,2.8000000000000003,1,0,2,6,0,0,3,4,2.942857142857143,ummels,12,2024,91,13.049922783633125
2024-12-16,505757.45,89,5,28.5,5,2,0,2,0,0,5,2,7.1571428571428575,ummels,12,2024,92,13.13381248551962
2024-12-30,13113.85,4,2,33.2,3,2,3,5,0,0,6,1,2.6714285714285713,ummels,12,2024,93,9.481424202600454
2025-01-06,7364.1,56,2,11.5,3,1,4,6,0,1,7,0,1.5999999999999999,ummels,1,2025,94,8.904372121837085
2025-01-13,192411.95,14,2,1.3000000000000003,1,0,6,7,0,0,7,0,-1.6428571428571428,ummels,1,2025,95,12.167393925472096
2025-01-20,99848.86,61,3,43.5,5,4,3,5,0,0,7,0,3.5714285714285716,ummels,1,2025,96,11.511412921653097
