date,rain_mm,precip_mm,snow_mm,temp_mean_c,temp_max_c,temp_min_c,wind_max_kmh,gust_max_kmh
2023-01-05,0.7,0.7,0.0,10.1,11.2,8.9,25.1,50.8
2023-01-06,0.9,0.9,0.0,10.6,11.8,9.6,25.7,49.0
2023-01-07,0.6,0.6,0.0,10.0,11.9,8.2,25.9,49.3
2023-01-08,1.3,1.3,0.0,9.0,10.7,7.6,25.1,49.3
2023-01-09,2.5,2.5,0.0,6.7,8.2,4.7,26.3,49.7
2023-01-10,4.2,4.2,0.0,5.4,9.4,3.0,29.0,54.7
2023-01-11,5.8,5.8,0.0,9.9,11.1,8.3,32.6,62.3
2023-01-12,29.9,29.9,0.0,9.5,10.7,8.4,35.3,68.0
2023-01-13,1.8,1.8,0.0,8.3,9.9,7.1,34.5,69.8
2023-01-14,10.3,10.3,0.0,8.5,11.6,5.3,34.8,67.7
2023-01-15,1.1,1.1,0.0,6.4,9.0,5.2,37.5,79.6
2023-01-16,7.7,9.0,0.91,4.6,6.4,3.0,25.3,48.2
2023-01-17,0.7,2.7,1.4,0.4,3.5,-3.4,23.7,45.0
2023-01-18,0.0,0.0,0.0,-0.4,3.6,-3.0,18.6,35.3
2023-01-19,0.5,4.2,2.59,1.3,4.2,-1.0,22.3,41.8
2023-01-20,0.3,7.9,5.32,0.0,2.0,-1.4,16.0,32.4
2023-01-21,0.0,0.0,0.0,-0.5,1.8,-2.5,15.6,31.7
2023-01-22,0.0,0.0,0.0,0.3,1.3,-1.4,16.5,31.3
2023-01-23,0.0,0.0,0.0,2.2,3.9,0.9,13.3,28.4
2023-01-24,0.0,0.0,0.0,2.0,2.8,0.0,12.5,27.4
2023-01-25,0.0,0.0,0.0,-0.6,0.3,-1.6,8.6,19.1
2023-01-26,0.9,1.2,0.21,1.5,5.7,-1.4,14.8,27.0
2023-01-27,0.2,0.2,0.0,3.4,4.7,2.0,19.8,41.0
2023-01-28,0.0,0.0,0.0,1.3,2.7,-1.2,11.3,23.0
2023-01-29,0.0,0.0,0.0,1.2,3.7,-1.4,21.6,40.7
2023-01-30,1.5,1.5,0.0,5.9,7.8,3.1,30.0,67.0
2023-01-31,0.8,0.8,0.0,4.7,7.4,1.6,28.5,58.7
2023-02-01,1.0,1.0,0.0,5.9,7.9,4.0,34.2,70.2
2023-02-02,0.8,0.8,0.0,7.6,8.8,6.3,29.3,56.5
2023-02-03,0.3,0.3,0.0,8.9,9.9,8.0,25.9,49.7
2023-02-04,1.1,1.1,0.0,7.3,9.1,5.7,12.8,26.3
2023-02-05,1.7,1.7,0.0,6.3,7.8,3.3,29.2,61.6
2023-02-06,0.1,0.1,0.0,2.0,6.7,-2.0,11.1,24.1
2023-02-07,0.0,0.0,0.0,0.3,4.9,-4.2,9.7,19.4
2023-02-08,0.0,0.0,0.0,-0.1,6.5,-4.7,10.8,19.1
