date,rain_mm,precip_mm,snow_mm,temp_mean_c,temp_max_c,temp_min_c,wind_max_kmh,gust_max_kmh
2023-01-15,6.4,6.6,0.14,5.9,9.6,4.3,40.4,74.5
2023-01-16,5.3,5.4,0.07,4.5,6.3,3.4,28.1,55.4
2023-01-17,0.4,0.5,0.07,0.9,3.6,-2.8,28.4,55.8
2023-01-18,0.0,0.0,0.0,-0.5,3.3,-3.8,19.1,35.6
2023-01-19,0.4,2.5,1.47,0.7,3.2,-1.1,20.7,38.9
2023-01-20,0.6,6.2,3.92,-0.4,1.1,-1.7,16.6,32.8
2023-01-21,0.0,0.0,0.0,-1.7,0.2,-3.5,16.2,32.0
2023-01-22,0.0,0.5,0.35,-0.4,0.2,-1.3,17.5,32.4
2023-01-23,0.0,0.0,0.0,1.1,3.1,-0.6,15.2,31.3
2023-01-24,0.0,0.0,0.0,0.8,2.3,-3.0,15.4,30.6
2023-01-25,0.0,0.0,0.0,-1.5,-0.4,-4.0,9.1,19.4
2023-01-26,0.3,0.7,0.35,-0.2,3.0,-2.8,13.9,24.1
2023-01-27,0.6,0.6,0.0,2.7,4.1,1.2,18.4,35.3
2023-01-28,0.0,0.0,0.0,0.2,2.2,-2.2,13.4,26.6
2023-01-29,0.0,0.0,0.0,-0.2,2.3,-2.9,21.7,40.0
2023-01-30,3.5,3.5,0.0,4.7,6.8,2.5,29.1,56.2
2023-01-31,0.5,0.5,0.0,4.1,6.7,1.4,27.6,61.6
2023-02-01,0.7,0.7,0.0,5.3,7.4,2.8,33.1,66.6
2023-02-02,3.3,3.3,0.0,6.9,8.2,6.0,27.1,54.0
2023-02-03,1.3,1.3,0.0,8.1,8.6,7.2,25.2,48.6
2023-02-04,0.8,0.8,0.0,6.8,8.6,5.2,13.7,28.4
2023-02-05,3.6,3.6,0.0,5.6,6.6,2.8,23.7,47.9
2023-02-06,0.1,0.1,0.0,1.7,4.5,-1.1,14.8,30.2
2023-02-07,0.0,0.0,0.0,0.2,4.3,-2.7,11.3,21.6
2023-02-08,0.0,0.0,0.0,-0.4,5.8,-4.8,13.6,24.1
2023-02-09,0.0,0.0,0.0,0.5,5.1,-3.3,14.2,29.5
2023-02-10,0.0,0.0,0.0,4.2,7.3,0.6,19.9,37.1
2023-02-11,0.0,0.0,0.0,5.6,7.0,3.2,18.5,35.6
2023-02-12,0.0,0.0,0.0,6.4,9.0,4.1,9.0,18.4
2023-02-13,0.0,0.0,0.0,5.6,11.9,0.2,10.8,19.1
2023-02-14,0.0,0.0,0.0,5.3,12.4,-0.9,10.4,18.0
2023-02-15,0.0,0.0,0.0,6.1,12.9,-0.9,16.1,30.6
2023-02-16,1.5,1.5,0.0,7.5,10.9,4.8,23.8,44.3
2023-02-17,0.7,0.7,0.0,10.8,13.2,8.9,34.2,67.0
2023-02-18,3.4,3.4,0.0,9.5,10.0,8.9,31.7,58.7
2023-02-19,3.9,3.9,0.0,8.3,9.6,4.7,25.6,48.6
2023-02-20,0.0,0.0,0.0,6.4,8.6,4.2,28.7,55.4
2023-02-21,0.0,0.0,0.0,6.4,9.4,3.5,16.7,31.3
2023-02-22,2.4,2.4,0.0,6.9,14.1,0.1,14.1,27.7
2023-02-23,1.6,1.6,0.0,7.6,8.8,6.8,10.8,22.3
2023-02-24,2.3,2.3,0.0,4.5,6.2,3.0,20.4,39.2
2023-02-25,0.8,0.8,0.0,2.8,5.9,-0.8,19.6,43.2
2023-02-26,0.0,0.0,0.0,-0.1,3.5,-2.9,23.7,47.5
2023-02-27,0.0,0.0,0.0,0.3,4.6,-4.0,20.6,45.4
2023-02-28,0.0,0.0,0.0,0.1,4.7,-3.8,19.8,40.7
2023-03-01,0.0,0.0,0.0,-0.1,5.6,-4.7,15.8,32.0
2023-03-02,0.0,0.0,0.0,1.9,8.4,-2.8,13.4,28.1
2023-03-03,0.0,0.0,0.0,1.0,4.7,-2.2,11.8,25.2
2023-03-04,0.3,0.3,0.0,3.7,6.1,0.2,15.6,29.9
2023-03-05,2.5,2.8,0.21,3.2,5.1,1.5,15.3,31.0
2023-03-06,0.8,1.0,0.14,2.7,5.2,0.6,24.5,46.4
2023-03-07,12.9,17.7,3.36,2.6,4.1,0.6,28.6,57.2
2023-03-08,4.5,15.3,7.56,1.1,2.8,0.1,17.3,32.4
2023-03-09,7.9,7.9,0.0,5.6,11.6,1.6,29.5,55.1
2023-03-10,12.1,13.4,0.91,7.2,10.9,0.7,35.5,73.4
2023-03-11,0.0,0.0,0.0,1.3,5.3,-1.5,19.1,42.1
2023-03-12,0.7,0.9,0.14,6.7,11.5,-0.2,29.7,56.9
2023-03-13,2.0,2.0,0.0,12.4,16.0,9.6,39.2,76.0
2023-03-14,9.0,9.4,0.28,7.3,11.1,1.6,28.3,56.9
2023-03-15,1.5,2.4,0.63,3.4,7.4,0.9,17.1,32.0
2023-03-16,0.2,0.2,0.0,7.4,12.5,1.9,22.1,40.3
2023-03-17,0.1,0.1,0.0,12.2,17.2,9.0,22.7,41.4
2023-03-18,5.0,5.0,0.0,11.6,14.6,8.4,20.2,40.3
2023-03-19,1.9,1.9,0.0,10.2,13.4,7.9,17.3,35.6
2023-03-20,0.9,0.9,0.0,7.2,9.1,4.3,19.1,40.0
2023-03-21,0.3,0.3,0.0,10.9,13.7,8.2,25.0,50.4
2023-03-22,0.5,0.5,0.0,10.8,12.4,9.2,32.9,67.0
2023-03-23,4.4,4.4,0.0,12.3,13.9,10.6,30.5,67.7
2023-03-24,5.0,5.0,0.0,11.7,13.6,9.1,30.8,61.9
2023-03-25,6.8,6.8,0.0,8.6,10.2,7.2,34.5,78.1
2023-03-26,10.2,10.2,0.0,6.9,8.1,5.2,21.3,42.8
2023-03-27,0.6,1.0,0.28,3.7,6.9,0.6,22.2,43.6
2023-03-28,1.2,1.2,0.0,3.5,9.4,-1.8,14.5,31.0
2023-03-29,0.2,0.2,0.0,10.5,15.4,5.2,21.1,40.7
2023-03-30,7.9,7.9,0.0,13.0,14.8,10.4,30.7,65.2
2023-03-31,10.2,10.2,0.0,10.8,13.3,8.9,35.9,70.2
2023-04-01,11.9,11.9,0.0,9.0,10.4,7.9,28.6,59.8
2023-04-02,2.9,2.9,0.0,5.6,8.2,2.5,20.4,40.0
2023-04-03,0.0,0.0,0.0,3.7,8.6,-1.0,18.4,37.4
2023-04-04,0.0,0.0,0.0,3.1,8.4,-2.9,14.2,31.0
2023-04-05,0.0,0.0,0.0,4.2,10.4,-1.8,9.7,16.9
2023-04-06,4.9,4.9,0.0,5.6,9.1,0.9,20.1,38.9
2023-04-07,3.1,3.1,0.0,7.9,10.1,5.1,15.3,31.0
2023-04-08,0.2,0.2,0.0,8.5,12.2,5.7,12.2,25.9
2023-04-09,0.0,0.0,0.0,9.7,15.1,3.6,9.3,20.2
2023-04-10,4.7,4.7,0.0,11.1,15.9,6.6,23.7,45.7
2023-04-11,2.7,2.7,0.0,9.5,12.5,6.3,26.8,53.3
2023-04-12,11.1,11.1,0.0,8.7,11.5,6.7,24.1,50.0
2023-04-13,1.5,1.5,0.0,8.4,12.3,5.9,34.7,67.3
2023-04-14,0.4,0.4,0.0,8.2,13.8,2.5,13.0,25.2
2023-04-15,0.1,0.1,0.0,7.8,12.6,2.6,23.0,45.7
2023-04-16,2.1,2.1,0.0,8.7,11.5,6.7,15.9,33.5
2023-04-17,2.4,2.4,0.0,9.9,14.4,7.3,18.3,38.5
2023-04-18,0.1,0.1,0.0,8.9,13.6,3.5,21.4,44.6
2023-04-19,0.0,0.0,0.0,10.3,13.9,7.8,23.5,47.2
2023-04-20,3.1,3.5,0.28,7.1,10.5,4.6,20.2,38.9
2023-04-21,5.7,5.7,0.0,10.1,16.4,4.8,18.4,38.9
2023-04-22,4.2,4.2,0.0,11.9,17.5,6.2,20.3,41.8
2023-04-23,5.1,5.1,0.0,11.7,15.9,8.6,30.3,56.9
2023-04-24,4.2,4.2,0.0,8.7,11.2,5.7,27.5,54.4
2023-04-25,0.8,0.8,0.0,6.8,10.4,3.7,15.9,33.8
2023-04-26,0.0,0.0,0.0,5.2,9.9,0.2,9.7,20.2
2023-04-27,0.0,0.0,0.0,7.8,13.6,1.4,13.4,30.2
2023-04-28,5.7,5.7,0.0,13.1,18.6,8.8,25.9,50.8
2023-04-29,0.7,0.7,0.0,10.6,13.4,7.8,16.8,31.3
2023-04-30,0.0,0.0,0.0,11.5,16.9,5.2,13.8,32.4
2023-05-01,7.0,7.0,0.0,12.8,17.4,8.6,20.6,41.4
2023-05-02,0.4,0.4,0.0,9.8,13.4,6.4,13.6,30.2
2023-05-03,0.0,0.0,0.0,8.9,15.1,2.8,13.8,31.7
2023-05-04,0.0,0.0,0.0,14.3,22.4,6.8,14.4,30.6
